from,to,cost,distance
721,445,0.79,276
542,480,2.575,62
770,702,0.926,68
32,266,0.596,234
34,56,0.628,22
251,297,0.725,46
233,41,1.6130000000000002,192
680,129,0.596,551
449,555,3.909,106
871,763,1.134,108
175,205,1.295,30
739,241,0.802,498
126,720,1.348,594
626,709,0.589,83
97,397,3.4210000000000003,300
222,734,0.309,512
101,273,1.445,172
408,295,0.897,113
509,697,0.721,188
391,576,4.126,185
506,822,1.644,316
785,69,0.512,716
603,245,0.852,358
245,596,3.851,351
35,841,0.8440000000000001,806
249,120,0.56,129
134,263,1.715,129
448,638,1.022,190
123,635,0.725,512
635,155,0.966,480
656,748,0.593,92
220,136,1.796,84
414,656,5.859,242
579,651,3.726,72
20,395,0.402,375
511,20,0.772,491
880,108,0.58,772
574,743,0.76,169
573,152,1.031,421
793,72,2.219,721
446,793,0.8,347
562,446,1.631,116
317,679,0.477,362
600,317,0.64,283
585,36,14.353,549
838,585,4.0760000000000005,253
838,14,0.831,824
812,19,0.598,793
863,591,2.504,272
863,792,1.88,71
601,787,1.968,186
223,499,8.095,276
411,18,0.5489999999999999,393
727,773,0.774,46
178,407,1.786,229
247,114,2.929,133
247,605,2.435,358
705,619,0.319,86
146,198,0.5,52
552,602,0.965,50
210,862,1.023,652
702,643,0.934,59
801,239,0.634,562
686,721,0.5529999999999999,35
239,805,1.487,566
654,554,0.7929999999999999,100
186,235,0.66,49
643,186,0.226,457
765,770,0.593,5
266,34,0.742,232
471,312,0.69,159
56,425,0.933,369
577,269,0.385,308
604,251,1.032,353
128,389,0.802,261
297,755,0.631,458
844,393,0.522,451
41,566,0.733,525
341,844,1.594,503
731,341,0.6859999999999999,390
747,570,0.606,177
607,139,2.178,468
387,607,0.79,220
569,387,1.064,182
3,367,2.072,364
29,569,0.191,540
800,29,1.187,771
315,800,1.4169999999999998,485
637,315,0.626,322
137,780,0.599,643
429,819,0.952,390
58,564,0.75,506
325,610,1.046,285
795,495,1.31,300
807,853,0.238,46
118,472,0.805,354
853,177,0.772,676
177,99,0.08,78
99,287,1.31,188
287,672,1.125,385
300,704,0.3379999999999999,404
704,536,1.24,168
672,306,1.16,366
153,300,1.294,147
306,144,1.154,162
51,153,1.172,102
144,847,1.609,703
440,51,1.3730000000000002,389
847,424,2.103,423
322,440,1.521,118
424,282,0.845,142
729,322,0.557,407
250,729,1.077,479
282,660,0.8140000000000001,378
191,250,1.016,59
874,83,1.238,791
636,191,0.296,445
83,355,1.74,272
93,636,1.238,543
351,93,1.483,258
351,112,0.895,239
